City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Bethel,US,57.99,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
138,Mareeba,AU,73.99,heavy intensity rain,-17.0,145.4333,Trinity Plains Tourist Park
139,Zhanaozen,KZ,54.14,broken clouds,43.3,52.8,K.korabay 28A
140,Bin Qirdan,TN,60.46,clear sky,33.1378,11.2197,Hôtel Palace
141,Broken Hill,AU,50.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
142,Ketchikan,US,68.0,clear sky,55.3422,-131.6461,Snows Cove Lodge
143,Cidreira,BR,70.77,broken clouds,-30.1811,-50.2056,Hotel Castelo
144,Hami,CN,58.37,scattered clouds,42.8,93.45,Laoyutang Resort
145,Asbe Teferi,ET,58.98,overcast clouds,9.0833,40.8667,Megenagna hotel
147,Bijar,IR,54.28,scattered clouds,35.8668,47.6051,رنگ فروشي جواهري
149,Atambua,ID,69.96,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
151,Meulaboh,ID,75.88,moderate rain,4.1363,96.1285,Kost Pria
152,Praia Da Vitoria,PT,62.6,few clouds,38.7333,-27.0667,Hotel Branco I
153,Constitucion,CL,58.53,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
154,Victoria,HK,71.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
155,North Bend,US,72.0,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
158,Batemans Bay,AU,55.0,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
160,Ponorogo,ID,73.65,overcast clouds,-7.8685,111.462,Kencana Dewi Hotel
161,Iquitos,PE,78.8,light rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
163,Toamasina,MG,69.8,broken clouds,-18.1667,49.3833,Hotel H1
164,Farafangana,MG,69.39,overcast clouds,-22.8167,47.8333,Miarina
166,Jijiga,ET,61.18,light rain,9.35,42.8,RAMAAS HOTEL
170,Vilhena,BR,78.8,scattered clouds,-12.7406,-60.1458,Hotel Mirage
172,Meadow Lake,US,54.0,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
174,Tura,IN,66.13,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
175,Palmer,US,60.8,broken clouds,42.1584,-72.3287,Wedgewood Motel
176,Turbat,PK,79.84,broken clouds,26.0023,63.044,Mubashar Quarters
178,Cerrito,CO,77.0,broken clouds,6.8432,-72.694,Yariseth juliana
180,Port Alfred,ZA,74.97,clear sky,-33.5906,26.891,The Halyards Hotel
181,Emerald,AU,63.0,clear sky,-23.5333,148.1667,The Irish Village
183,Ahipara,NZ,62.69,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
184,Nouakchott,MR,71.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
185,Qui Nhon,VN,74.57,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
186,Valdivia,CL,62.6,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
188,Dong Hoi,VN,74.39,scattered clouds,17.4833,106.6,Nam Long Hotel
190,Ashland,US,60.8,few clouds,40.8167,-82.2665,Holiday Inn Express & Suites Ashland
191,Roma,US,59.0,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
193,Chuy,UY,63.91,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
195,Omboue,GA,79.16,overcast clouds,-1.5746,9.2618,Hotel Olako
198,Casper,US,59.0,scattered clouds,42.8666,-106.3131,Ramkota Hotel
200,Tooele,US,60.8,clear sky,40.5308,-112.2983,Holiday Inn Express & Suites Tooele
202,Codrington,AU,53.58,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
203,Sabha,LY,78.28,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
208,La Rioja,ES,51.01,clear sky,42.25,-2.5,Casa Concejos
209,Ranong,TH,78.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
211,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
212,Nurota,UZ,57.2,broken clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
213,Itarema,BR,78.33,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
216,Russell,US,77.0,clear sky,32.3502,-85.1999,Macs
220,Lompoc,US,73.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
221,Baculin,PH,77.92,overcast clouds,7.4525,126.5842,Shovy's Cove
223,Muros,ES,57.0,light rain,42.7762,-9.0603,Apartment Av. Castelao
224,Urbana,US,61.0,broken clouds,40.1106,-88.2073,America's Best Inn Urbana Champaign
226,Deseronto,CA,57.0,broken clouds,44.2001,-77.0494,Mohawk Bay Trailer Park
227,Chimbote,PE,70.79,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
230,Kununurra,AU,60.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
233,Casablanca,MA,66.0,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
234,Ambalavao,MG,57.47,overcast clouds,-21.8333,46.9333,Hôtel Le Tropik
235,Harlingen,US,68.0,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
236,Lahat,ID,71.49,moderate rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
239,Baker City,US,72.0,clear sky,44.7749,-117.8344,Bridge Street Inn
242,Hualmay,PE,70.97,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
245,Marrakesh,MA,69.8,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
249,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
250,Ocean City,US,64.4,broken clouds,39.2776,-74.5746,Biscayne Suites
251,Lebanon,US,64.4,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
254,Inhambane,MZ,66.79,few clouds,-23.865,35.3833,Oceano
256,Virginia Beach,US,66.2,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
260,Kalianget,ID,78.73,broken clouds,-7.05,113.9333,Pesanggrahan Garam
261,Maumere,ID,79.14,overcast clouds,-8.6199,122.2111,Sylvia Hotel
265,Brebes,ID,76.84,scattered clouds,-6.8706,109.0369,HOTEL GRAND DIAN BREBES
266,Merrill,US,57.99,broken clouds,45.1805,-89.6835,Prairie Motel
267,Payson,US,62.01,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
270,Cap Malheureux,MU,75.99,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
271,Ulladulla,AU,55.0,clear sky,-35.35,150.4667,Sandpiper Motel
272,Maputo,MZ,69.01,clear sky,-25.9653,32.5892,Pestana Rovuma
273,Rio Grande,BR,68.0,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
275,Panacan,PH,77.0,scattered clouds,9.2463,118.4082,Mom's Place Resort
277,Sterling,US,62.6,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
278,Linfen,CN,56.64,scattered clouds,36.0889,111.5189,Suoxing Hotel
280,Pathein,MM,76.78,clear sky,16.7833,94.7333,New Pammawaddy Hotel
285,Nuevo Progreso,MX,70.0,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
286,Mogok,MM,66.79,few clouds,22.9167,96.5,MOGOK HILL HOTEL
290,Katsuura,JP,55.0,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
295,Mega,ET,58.73,light rain,4.05,38.3,Amanuel Guest House
