City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Butaritari,KI,3.0707,172.7902,83.37,74,91,15.37,overcast clouds
79,Talnakh,RU,69.4865,88.3972,-13.97,90,67,1.9,broken clouds
80,Dillon,US,34.4166,-79.3712,69.01,59,1,5.82,clear sky
81,Lebu,CL,-37.6167,-73.65,56.25,84,58,10.09,broken clouds
82,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,90,14.97,overcast clouds
83,Cartagena,CO,10.3997,-75.5144,80.6,74,75,5.75,broken clouds
84,New Norfolk,AU,-42.7826,147.0587,63.0,73,100,3.0,overcast clouds
85,Arlit,NE,18.7369,7.3853,85.08,6,79,7.4,broken clouds
86,Benjamin Constant,BR,-4.3831,-70.0311,73.4,100,40,2.3,scattered clouds
87,Dunedin,NZ,-45.8742,170.5036,62.49,54,98,3.38,overcast clouds
88,Mandiana,GN,10.6333,-8.6833,86.68,28,49,4.16,scattered clouds
89,Tarusa,RU,54.7233,37.1767,41.0,87,96,4.47,overcast clouds
90,Georgetown,MY,5.4112,100.3354,78.8,94,20,2.3,few clouds
91,Cape Town,ZA,-33.9258,18.4232,68.0,94,0,14.97,clear sky
92,Hofn,IS,64.2539,-15.2082,39.16,69,7,19.89,clear sky
93,Ixtapa,MX,20.7,-105.2,78.8,65,1,10.36,clear sky
94,Hobyo,SO,5.3505,48.5268,82.45,71,55,8.43,broken clouds
95,Nouakchott,MR,18.0858,-15.9785,69.8,83,0,11.5,clear sky
96,East London,ZA,-33.0153,27.9116,74.75,29,0,6.55,clear sky
97,Pontianak,ID,-0.0333,109.3333,77.0,94,20,3.44,few clouds
98,Barrow,US,71.2906,-156.7887,26.6,80,1,11.5,clear sky
99,Pochutla,MX,15.7432,-96.4661,84.0,69,90,6.15,overcast clouds
100,Bluff,NZ,-46.6,168.3333,62.01,76,80,1.01,broken clouds
101,Kapaa,US,22.0752,-159.319,78.8,61,40,13.8,scattered clouds
102,Aklavik,CA,68.2191,-135.0107,48.2,42,20,12.66,few clouds
103,Sibolga,ID,1.7427,98.7792,75.34,88,100,2.71,overcast clouds
104,Inhambane,MZ,-23.865,35.3833,66.83,75,10,3.58,clear sky
105,Mahon,ES,39.8885,4.2658,51.8,71,0,6.91,clear sky
106,Lagoa,PT,39.05,-27.9833,60.71,86,96,10.36,overcast clouds
107,Port Elizabeth,ZA,-33.918,25.5701,71.6,35,0,18.41,clear sky
108,Maniitsoq,GL,65.4167,-52.9,14.32,63,96,13.85,overcast clouds
109,Tuatapere,NZ,-46.1333,167.6833,62.01,76,84,1.01,broken clouds
110,Marsh Harbour,BS,26.5412,-77.0636,78.64,73,66,6.78,broken clouds
111,Port Alfred,ZA,-33.5906,26.891,75.16,31,0,8.75,clear sky
112,Kalengwa,ZM,-13.4659,25.0027,58.87,81,96,6.96,overcast clouds
113,Atuona,PF,-9.8,-139.0333,80.31,79,13,18.43,few clouds
114,Ibra,OM,22.6906,58.5334,75.58,42,99,2.35,overcast clouds
115,Tadine,NC,-21.55,167.8833,79.97,78,89,9.51,overcast clouds
116,Grindavik,IS,63.8424,-22.4338,33.8,69,75,14.97,broken clouds
117,Victoria,HK,22.2855,114.1577,72.0,72,96,1.99,overcast clouds
118,Carnarvon,AU,-24.8667,113.6333,75.97,69,0,18.72,clear sky
119,Acarau,BR,-2.8856,-40.12,76.98,88,98,10.09,light rain
120,Kaeo,NZ,-35.1,173.7833,70.0,62,82,4.0,broken clouds
121,Cidreira,BR,-30.1811,-50.2056,70.43,72,40,11.3,scattered clouds
122,Scarborough,GB,54.2797,-0.4044,37.0,89,38,1.61,scattered clouds
123,Makakilo City,US,21.3469,-158.0858,84.2,42,1,6.91,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,61.65,83,85,6.73,overcast clouds
125,Pevek,RU,69.7008,170.3133,23.29,93,100,11.65,snow
126,San Jose,US,37.3394,-121.895,84.0,24,1,18.41,clear sky
127,Kuragino,RU,53.8975,92.6725,38.35,73,100,8.37,overcast clouds
128,Billings,US,45.7833,-108.5007,44.6,61,75,24.16,broken clouds
129,Belmonte,BR,-15.8631,-38.8828,77.0,83,0,6.91,clear sky
130,Ahipara,NZ,-35.1667,173.1667,65.44,52,84,4.38,broken clouds
131,Severo-Kurilsk,RU,50.6789,156.125,35.24,95,100,28.36,moderate rain
132,Cap Malheureux,MU,-19.9842,57.6142,78.01,84,76,4.0,broken clouds
133,Wahiawa,US,21.5028,-158.0236,84.2,50,40,10.36,scattered clouds
134,Lewistown,US,40.5992,-77.5714,53.6,70,75,4.61,broken clouds
135,Pangnirtung,CA,66.1451,-65.7125,5.61,88,41,6.33,scattered clouds
136,Ulagan,RU,50.6321,87.9563,34.09,63,34,5.21,scattered clouds
137,Hirtshals,DK,57.5881,9.9592,46.99,66,15,6.91,few clouds
138,Lompoc,US,34.6391,-120.4579,64.99,77,0,12.66,clear sky
